date,total,1,2,3,4,5,7,10,S1,S3,S6,S7,S8,S9
2012-09-09,103.1801,65.9835,37.1966,,,,,,,,,,,
2012-09-10,110.2222,69.092,41.1302,,,,,,,,,,,
2012-09-11,107.8,67.3,40.5,,,,,,,,,,,
2012-09-13,106.6005,66.5027,40.0978,,,,,,,,,,,
2012-09-14,126.2609,79.0968,47.1641,,,,,,,,,,,
2012-09-15,135.0429,84.7612,50.2817,,,,,,,,,,,
2012-09-16,115.45,74.15,41.3,,,,,,,,,,,
2012-09-19,108.8781,67.6665,41.2116,,,,,,,,,,,
2012-09-20,107.9914,67.3381,40.6533,,,,,,,,,,,
2012-09-21,123.7729,77.0889,46.684,,,,,,,,,,,
2012-09-22,129.9755,80.7645,49.211,,,,,,,,,,,
2012-09-23,119.979,75.5434,44.4356,,,,,,,,,,,
2012-09-24,108.8824,68.3835,40.4989,,,,,,,,,,,
2012-09-25,110.1645,69.0291,41.1354,,,,,,,,,,,
2012-09-26,113.4267,71.4683,41.9584,,,,,,,,,,,
2012-09-27,113.7348,71.7702,41.9646,,,,,,,,,,,
2012-09-28,129.2991,82.4344,46.8647,,,,,,,,,,,
2012-09-29,153.4962,101.1759,52.3203,,,,,,,,,,,
2012-09-30,123.0684,82.4595,40.6089,,,,,,,,,,,
2012-10-01,116.8223,75.9757,40.8466,,,,,,,,,,,
2012-10-02,117.6089,75.1506,42.4583,,,,,,,,,,,
2012-10-03,115.3055,73.8998,41.4057,,,,,,,,,,,
2012-10-04,111.845,72.3436,39.5014,,,,,,,,,,,
2012-10-05,110.3059,71.4337,38.8722,,,,,,,,,,,
2012-10-07,118.6827,78.8926,39.7901,,,,,,,,,,,
2012-10-08,107.4691,68.1003,39.3688,,,,,,,,,,,
2012-10-09,105.6819,66.0931,39.5888,,,,,,,,,,,
2012-10-10,107.9813,67.0942,40.8871,,,,,,,,,,,
2012-10-11,105.3958,65.2541,40.1417,,,,,,,,,,,
2012-10-12,123,77,46,,,,,,,,,,,
2012-10-13,131.7651,81.8063,49.9588,,,,,,,,,,,
2012-10-14,114.3658,72.4763,41.8895,,,,,,,,,,,
2012-10-15,107.5513,67.1734,40.3779,,,,,,,,,,,
2012-10-16,103.9287,64.4806,39.4481,,,,,,,,,,,
2012-10-17,110.2092,68.5755,41.6337,,,,,,,,,,,
2012-10-18,110.3697,69.041,41.3287,,,,,,,,,,,
2012-10-19,129.4843,81.3846,48.0997,,,,,,,,,,,
2012-10-20,148.713,93.3748,55.3382,,,,,,,,,,,
2012-10-21,119.2638,76.2677,42.9961,,,,,,,,,,,
2012-10-22,107.9866,67.7688,40.2178,,,,,,,,,,,
2012-10-23,108,67,41,,,,,,,,,,,
2012-10-24,109,67.8,41.2,,,,,,,,,,,
2012-10-25,109.9458,68.5305,41.4153,,,,,,,,,,,
2012-10-26,130.3736,81.8678,48.5058,,,,,,,,,,,
2012-10-27,138,86,52,,,,,,,,,,,
2012-10-28,122,78,44,,,,,,,,,,,
2012-10-29,107,67,40,,,,,,,,,,,
2012-10-30,106.1,65.7,40.4,,,,,,,,,,,
2012-10-31,111.8,69.44,42.36,,,,,,,,,,,
2012-11-01,111.01,68.89,42.12,,,,,,,,,,,
2012-11-02,132.686,82.6593,50.0267,,,,,,,,,,,
2012-11-03,127.7,79.5,48.2,,,,,,,,,,,
2012-11-04,115.3099,73.7378,41.5721,,,,,,,,,,,
2012-11-05,110.9051,69.5181,41.387,,,,,,,,,,,
2012-11-06,109,68,41,,,,,,,,,,,
2012-11-07,108.5173,66.7418,41.7755,,,,,,,,,,,
2012-11-08,106,66,40,,,,,,,,,,,
2012-11-09,124.1909,77.8721,46.3188,,,,,,,,,,,
2012-11-10,125.8,78.4,47.4,,,,,,,,,,,
2012-11-11,128.9,82,46.9,,,,,,,,,,,
2012-11-12,112,70,42,,,,,,,,,,,
2012-11-13,109,68,41,,,,,,,,,,,
2012-11-14,110,68,42,,,,,,,,,,,
2012-11-15,109.1,67.6,41.5,,,,,,,,,,,
2012-11-16,126,79,47,,,,,,,,,,,
2012-11-17,134.8,83,51.8,,,,,,,,,,,
2012-11-18,119.2,75.3,43.9,,,,,,,,,,,
2012-11-19,112.3,70.3,42,,,,,,,,,,,
2012-11-20,116.7,72.3,44.4,,,,,,,,,,,
2012-11-21,108.8,67.5,41.3,,,,,,,,,,,
2012-11-22,108.3,67.2,41.1,,,,,,,,,,,
2012-11-23,129,81.1,47.9,,,,,,,,,,,
2012-11-24,137.3,84.4,52.9,,,,,,,,,,,
2012-11-26,113.8,71.2,42.6,,,,,,,,,,,
2012-11-27,111.8,69,42.8,,,,,,,,,,,
2012-11-28,113,69.7,43.3,,,,,,,,,,,
2012-11-29,112.3,69.4,42.9,,,,,,,,,,,
2012-11-30,131.8,82.6,49.2,,,,,,,,,,,
2012-12-01,126,78.4,47.6,,,,,,,,,,,
2012-12-02,115.8,73.5,42.3,,,,,,,,,,,
2012-12-03,113.6,71,42.6,,,,,,,,,,,
2012-12-04,111.4,68.8,42.6,,,,,,,,,,,
2012-12-05,112.8,69.7,43.1,,,,,,,,,,,
2012-12-06,112.1,69.4,42.7,,,,,,,,,,,
2012-12-07,131.6,81.8,49.8,,,,,,,,,,,
2012-12-08,130.9,80.8,50.1,,,,,,,,,,,
2012-12-09,114.7,71.7,43,,,,,,,,,,,
2012-12-10,113.4,70.4,43,,,,,,,,,,,
2012-12-11,112.4,69.8,42.6,,,,,,,,,,,
2012-12-12,115.1,70.9,44.2,,,,,,,,,,,
2012-12-13,110.6,67.9,42.7,,,,,,,,,,,
2012-12-14,127,78.8,48.2,,,,,,,,,,,
2012-12-15,117.8,73.1,44.7,,,,,,,,,,,
2012-12-16,106.7,67.7,39,,,,,,,,,,,
2012-12-17,113.7,70.7,43,,,,,,,,,,,
2012-12-18,115.1,70.9,44.2,,,,,,,,,,,
2012-12-19,116.1,71.8,44.3,,,,,,,,,,,
2012-12-20,112.3,69.5,42.8,,,,,,,,,,,
2012-12-21,125.5,77.7,47.8,,,,,,,,,,,
2012-12-22,116.3,72.6,43.7,,,,,,,,,,,
2012-12-23,115.7,73.3,42.4,,,,,,,,,,,
2012-12-24,135.6,84.7,50.9,,,,,,,,,,,
2012-12-25,127.5,79.2,48.3,,,,,,,,,,,
2012-12-26,116.5,72,44.5,,,,,,,,,,,
2012-12-27,112.6,69.5,43.1,,,,,,,,,,,
2012-12-28,128.7,80.3,48.4,,,,,,,,,,,
2012-12-29,104.9,66.6,38.3,,,,,,,,,,,
2012-12-30,112.5,72.7,39.8,,,,,,,,,,,
2012-12-31,148.8,94.8,54,,,,,,,,,,,
2013-01-01,133.9,87.1,46.8,,,,,,,,,,,
2013-01-02,115.8,74.1,41.7,,,,,,,,,,,
2013-01-03,107.7,70.2,37.5,,,,,,,,,,,
2013-01-04,126,78.3,47.7,,,,,,,,,,,
2013-01-05,118.8,73.6,45.2,,,,,,,,,,,
2013-01-06,115.4,71.6,43.8,,,,,,,,,,,
2013-01-07,115.4,71.4,44,,,,,,,,,,,
2013-01-08,116.1,71.6,44.5,,,,,,,,,,,
2013-01-09,115.8,71.4,44.4,,,,,,,,,,,
2013-01-10,117.1,72.4,44.7,,,,,,,,,,,
2013-01-11,130.1,81.3,48.8,,,,,,,,,,,
2013-01-12,117.6,74,43.6,,,,,,,,,,,
2013-01-13,104.1,66.5,37.6,,,,,,,,,,,
2013-01-14,120.4,74.8,45.6,,,,,,,,,,,
2013-01-15,121.8,75.9,45.9,,,,,,,,,,,
2013-01-16,124.4,77.9,46.5,,,,,,,,,,,
2013-01-17,127.4,79.9,47.5,,,,,,,,,,,
2013-01-18,137.2,86.8,50.4,,,,,,,,,,,
2013-01-19,115.4,73.7,41.7,,,,,,,,,,,
2013-01-20,98.9,64.2,34.7,,,,,,,,,,,
2013-01-21,117,73,44,,,,,,,,,,,
2013-01-22,116,73,43,,,,,,,,,,,
2013-01-23,118,74,44,,,,,,,,,,,
2013-01-24,117.3,72.9,44.4,,,,,,,,,,,
2013-01-25,125.3,78,47.3,,,,,,,,,,,
2013-01-26,106.5,67.2,39.3,,,,,,,,,,,
2013-01-27,98,63,35,,,,,,,,,,,
2013-01-28,118.6,74,44.6,,,,,,,,,,,
2013-01-29,115,71.8,43.2,,,,,,,,,,,
2013-01-30,114,71.4,42.6,,,,,,,,,,,
2013-01-31,111.5,69.7,41.8,,,,,,,,,,,
2013-02-01,116.2,73.3,42.9,,,,,,,,,,,
2013-02-02,102.9,65.6,37.3,,,,,,,,,,,
2013-02-03,89.3,57.9,31.4,,,,,,,,,,,
2013-02-04,112,70.7,41.3,,,,,,,,,,,
2013-02-05,106.6,67.8,38.8,,,,,,,,,,,
2013-02-06,104.7,67.4,37.3,,,,,,,,,,,
2013-02-07,87.1,56.5,30.6,,,,,,,,,,,
2013-02-08,62.7,41.1,21.6,,,,,,,,,,,
2013-02-09,31.6,20.1,11.5,,,,,,,,,,,
2013-02-10,39.3,25.4,13.9,,,,,,,,,,,
2013-02-11,45.3,29.4,15.8,,,,,,,,,,,
2013-02-12,47.9,31,16.9,,,,,,,,,,,
2013-02-13,58,37.6,20.4,,,,,,,,,,,
2013-02-14,65.3,43.3,22,,,,,,,,,,,
2013-02-15,70.9,47.4,23.5,,,,,,,,,,,
2013-02-16,87.7,56.8,30.9,,,,,,,,,,,
2013-02-17,91.1,58.9,32.2,,,,,,,,,,,
2013-02-18,94,59.5,34.5,,,,,,,,,,,
2013-02-19,116.3,72.5,43.8,,,,,,,,,,,
2013-02-20,114.1,71.6,42.5,,,,,,,,,,,
2013-02-21,117.9,74.2,43.7,,,,,,,,,,,
2013-02-22,132.2,83.8,48.4,,,,,,,,,,,
2013-02-23,134.6,87.1,47.5,,,,,,,,,,,
2013-02-24,133.2,87.8,45.4,,,,,,,,,,,
2013-02-25,130.1,83,47.1,,,,,,,,,,,
2013-02-26,121.8,76.4,45.4,,,,,,,,,,,
2013-02-27,127,79.3,47.7,,,,,,,,,,,
2013-02-28,122.6,76.4,46.2,,,,,,,,,,,
2013-03-01,135.3,84.6,50.7,,,,,,,,,,,
2013-03-02,143.6,89.7,53.9,,,,,,,,,,,
2013-03-03,129.3,80.5,48.8,,,,,,,,,,,
2013-03-04,125.4,77.9,47.5,,,,,,,,,,,
2013-03-05,124.9,77,47.9,,,,,,,,,,,
